customer_id,segment,region,acquisition_channel,lifetime_value,avg_order_frequency,price_sensitivity_score,preferred_channel,return_rate_historical,is_active
C00033,B2C Consumer,Northeast,Referral,729.43,2.75,0.757,In-Store,0.071,0
C00034,B2C Consumer,International,Referral,842.99,3.71,0.836,In-Store,0.08,1
C00035,B2C Consumer,Midwest,Social Media,2161.92,2.24,0.673,In-Store,0.08,1
C00036,B2C Consumer,Northeast,Paid Search,2353.16,3.24,0.757,Online,0.088,0
C00037,B2C Consumer,Southeast,Email Campaign,879.17,2.31,0.882,Online,0.091,1
C00038,B2C Consumer,Southeast,Paid Search,2063.26,3.67,0.911,Online,0.085,1
C00039,B2C Consumer,Northeast,Direct / Walk-in,2030.32,3.73,0.652,Online,0.073,1
C00040,B2C Consumer,International,Email Campaign,1270.88,2.86,0.629,Online,0.071,1
C00041,B2C Consumer,International,Direct / Walk-in,1435.29,2.32,0.873,Online,0.099,1
C00042,B2C Consumer,International,Referral,647.07,2.53,0.815,Online,0.074,0
C00043,B2C Consumer,Southeast,Direct / Walk-in,294.46,2.5,0.695,In-Store,0.078,1
C00044,B2C Consumer,International,Organic Search,1783.55,1.65,0.912,Online,0.077,1
C00045,B2C Consumer,Northeast,Referral,843.85,3.89,0.832,Online,0.088,1
C00046,B2C Consumer,Southwest,Paid Search,1018.74,3.39,0.506,Online,0.071,1
C00047,B2C Consumer,International,Direct / Walk-in,1818.41,2.69,0.544,Online,0.084,1
C00048,B2C Consumer,International,Referral,1116.56,3.04,0.786,Online,0.081,1
C00049,B2C Consumer,Southeast,Organic Search,1440.57,3.21,0.777,In-Store,0.098,1
C00050,B2C Consumer,Midwest,Social Media,1523.59,2.47,0.789,Online,0.086,0
C00051,B2C Consumer,Midwest,Organic Search,2410.74,3.76,0.588,Online,0.073,1
C00052,B2C Consumer,Midwest,Paid Search,1770.92,1.68,0.644,In-Store,0.071,1
C00053,B2C Consumer,Northeast,Social Media,1793.65,2.37,0.921,Online,0.083,0
C00054,B2C Consumer,Southwest,Paid Search,1173.98,2.92,0.759,In-Store,0.074,1
C00055,B2C Consumer,International,Referral,748.77,3.2,0.833,Online,0.081,1
C00056,B2C Consumer,Southwest,Organic Search,936.11,3.74,0.675,Online,0.097,1
C00057,B2C Consumer,Southwest,Direct / Walk-in,1756.57,2.71,0.722,Online,0.073,1
C00058,B2C Consumer,Southwest,Email Campaign,689.27,3.87,0.852,Online,0.098,0
C00059,B2C Consumer,International,Paid Search,1215.52,3.72,0.658,Online,0.074,1
C00060,B2C Consumer,Southwest,Organic Search,432.58,1.71,0.815,Online,0.095,1
C00061,B2C Consumer,West Coast,Referral,395.13,3.97,0.668,Online,0.094,0
C00062,B2C Consumer,Northeast,Referral,1932.77,2.44,0.538,In-Store,0.087,1
C00063,B2C Consumer,Southeast,Email Campaign,455.75,2.73,0.505,Online,0.072,1
C00064,B2C Consumer,West Coast,Organic Search,1911.69,3.2,0.607,Online,0.084,1
C00065,B2C Consumer,Northeast,Direct / Walk-in,1203.57,3.51,0.94,Online,0.08,1
C00066,B2C Consumer,West Coast,Email Campaign,2313.97,2.13,0.813,Online,0.075,1
C00067,B2C Consumer,Northeast,Referral,1802.93,2.46,0.832,In-Store,0.099,1
C00068,B2C Consumer,International,Social Media,445.54,2.34,0.576,Online,0.082,1
C00069,B2C Consumer,Southwest,Social Media,1028.79,2.15,0.704,Online,0.078,1
C00070,B2C Consumer,West Coast,Social Media,823.2,1.83,0.534,In-Store,0.082,1
C00071,B2C Consumer,Northeast,Paid Search,390.32,3.69,0.748,Online,0.082,1
C00072,B2C Consumer,Southeast,Organic Search,1066.5,3.37,0.677,In-Store,0.087,1
C00073,B2C Consumer,Northeast,Email Campaign,507.86,1.53,0.534,Online,0.086,1
C00074,B2C Consumer,Midwest,Referral,1545.84,3.32,0.841,Online,0.077,1
C00075,B2C Consumer,Northeast,Email Campaign,831.88,2.02,0.895,In-Store,0.071,1
C00076,B2C Consumer,Southeast,Paid Search,1396.71,3.43,0.734,In-Store,0.087,1
C00077,B2C Consumer,International,Email Campaign,1128.01,1.84,0.513,In-Store,0.089,1
C00078,B2C Consumer,Midwest,Direct / Walk-in,1619.71,3.95,0.774,Online,0.087,1
C00079,B2C Consumer,Southeast,Social Media,1459.13,2.63,0.91,Online,0.086,1
C00080,B2C Consumer,West Coast,Social Media,1256.5,3.61,0.846,Online,0.071,1
C00081,B2C Consumer,Southeast,Referral,681.0,2.95,0.654,Online,0.084,1
C00082,B2C Consumer,Midwest,Direct / Walk-in,1804.64,1.95,0.813,Online,0.096,1
C00083,B2C Consumer,Southeast,Referral,642.26,1.6,0.576,Online,0.075,1
C00084,B2C Consumer,Northeast,Referral,1259.79,2.02,0.664,Online,0.091,1
C00085,B2C Consumer,Northeast,Organic Search,1781.9,2.78,0.571,Online,0.07,1
C00086,B2C Consumer,Northeast,Email Campaign,624.4,2.02,0.667,Online,0.089,1
C00087,B2C Consumer,Southeast,Referral,343.39,1.87,0.56,Online,0.095,1
C00088,B2C Consumer,Southwest,Referral,2194.59,2.39,0.679,Online,0.092,1
C00089,B2C Consumer,Northeast,Organic Search,686.33,2.32,0.554,In-Store,0.088,1
C00090,B2C Consumer,Midwest,Organic Search,1346.42,1.72,0.742,Online,0.092,1
C00091,B2C Consumer,Midwest,Paid Search,852.68,2.41,0.791,Online,0.081,0
C00092,B2C Consumer,West Coast,Organic Search,745.62,1.75,0.569,Online,0.075,1
C00093,B2C Consumer,International,Direct / Walk-in,598.76,3.74,0.536,Online,0.082,0
C00094,B2C Consumer,International,Paid Search,1524.8,3.79,0.502,In-Store,0.085,1
C00095,B2C Consumer,International,Organic Search,1852.45,2.84,0.714,In-Store,0.076,0
C00096,B2C Consumer,Southwest,Email Campaign,658.87,3.34,0.738,In-Store,0.093,1
C00097,B2C Consumer,International,Email Campaign,2343.63,2.3,0.767,Online,0.084,1
C00098,B2C Consumer,Southeast,Social Media,663.98,3.21,0.54,Online,0.07,1
C00099,B2C Consumer,International,Email Campaign,1002.4,3.82,0.874,In-Store,0.074,1
C00100,B2C Consumer,Northeast,Paid Search,616.84,1.67,0.834,Online,0.095,1
C00101,B2C Consumer,Northeast,Referral,663.74,1.91,0.574,In-Store,0.09,1
C00102,B2C Consumer,Southwest,Organic Search,2217.56,2.48,0.867,Online,0.081,1
C00103,B2C Consumer,International,Organic Search,1919.5,2.76,0.604,In-Store,0.082,1
C00104,B2C Consumer,Midwest,Email Campaign,1192.51,2.33,0.829,Online,0.075,1
C00105,B2C Consumer,Northeast,Social Media,1905.36,2.93,0.949,In-Store,0.091,1
C00106,B2C Consumer,Northeast,Direct / Walk-in,670.45,3.29,0.722,In-Store,0.073,1
C00107,B2C Consumer,Southwest,Referral,493.22,2.49,0.859,Online,0.077,1
C00108,B2C Consumer,Southeast,Email Campaign,1674.64,3.23,0.744,Online,0.08,1
C00109,B2C Consumer,Southeast,Direct / Walk-in,722.91,2.56,0.63,Online,0.097,1
C00110,B2C Consumer,Southeast,Organic Search,788.84,3.32,0.767,Online,0.098,1
C00111,B2C Consumer,West Coast,Paid Search,1973.87,2.44,0.531,Online,0.073,1
C00112,B2C Consumer,Midwest,Organic Search,460.45,3.96,0.878,Online,0.098,1
C00113,B2C Consumer,Midwest,Referral,1072.4,3.36,0.593,In-Store,0.088,1
C00114,B2C Consumer,Southwest,Organic Search,2186.09,3.81,0.71,Online,0.098,1
C00115,B2C Consumer,Midwest,Social Media,2299.32,2.12,0.76,Online,0.071,1
C00116,B2C Consumer,West Coast,Email Campaign,1654.21,1.53,0.799,Online,0.099,1
C00117,B2C Consumer,International,Direct / Walk-in,396.3,3.99,0.726,Online,0.072,1
C00118,B2C Consumer,Midwest,Email Campaign,1003.59,2.67,0.781,Online,0.095,1
C00119,B2C Consumer,Northeast,Direct / Walk-in,1842.34,2.82,0.741,Online,0.085,1
C00120,B2C Consumer,Southwest,Organic Search,969.03,1.69,0.839,Online,0.097,1
C00121,B2C Consumer,Northeast,Social Media,2131.51,3.67,0.684,Online,0.078,1
C00122,B2C Consumer,West Coast,Direct / Walk-in,980.32,2.92,0.899,Online,0.092,1
C00123,B2C Consumer,International,Direct / Walk-in,2109.51,2.49,0.801,Online,0.079,0
C00124,B2C Consumer,Southeast,Organic Search,678.14,1.57,0.582,Online,0.083,0
C00125,B2C Consumer,West Coast,Social Media,972.49,3.56,0.663,Online,0.095,1
C00126,B2C Consumer,International,Organic Search,1203.09,2.24,0.927,In-Store,0.074,1
C00127,B2C Consumer,Midwest,Direct / Walk-in,1283.45,1.96,0.718,Online,0.092,1
C00128,B2C Consumer,Northeast,Organic Search,520.52,3.59,0.943,Online,0.075,1
C00129,B2C Consumer,Midwest,Direct / Walk-in,2302.89,1.79,0.759,Online,0.087,1
C00130,B2C Consumer,Southeast,Social Media,674.77,1.53,0.562,In-Store,0.096,1
C00131,B2C Consumer,Southwest,Referral,1729.58,1.94,0.911,Online,0.081,1
C00132,B2C Consumer,Southeast,Social Media,2404.84,1.96,0.541,In-Store,0.072,1
C00133,B2C Consumer,Midwest,Social Media,1853.81,2.24,0.755,Online,0.09,0
C00134,B2C Consumer,West Coast,Organic Search,820.8,2.85,0.573,In-Store,0.095,0
C00135,B2C Consumer,Midwest,Paid Search,1633.66,2.69,0.655,Online,0.082,1
C00136,B2C Consumer,Southeast,Organic Search,766.72,3.55,0.86,Online,0.078,1
C00137,B2C Consumer,Midwest,Referral,410.64,3.79,0.562,In-Store,0.083,1
C00138,B2C Consumer,International,Email Campaign,1884.12,3.52,0.796,Online,0.095,1
C00139,B2C Consumer,Northeast,Social Media,708.78,3.97,0.925,Online,0.091,0
C00140,B2C Consumer,Southeast,Referral,1288.38,2.28,0.554,In-Store,0.076,1
C00141,B2C Consumer,Midwest,Referral,1290.69,3.66,0.88,Online,0.095,1
C00142,B2C Consumer,Midwest,Social Media,477.3,1.69,0.813,Online,0.092,1
C00143,B2C Consumer,Northeast,Social Media,2018.66,2.3,0.782,In-Store,0.088,1
C00144,B2C Consumer,Midwest,Paid Search,2477.79,1.5,0.583,Online,0.098,1
C00145,B2C Consumer,International,Social Media,321.17,1.72,0.517,Online,0.087,1
C00146,B2C Consumer,Northeast,Paid Search,410.91,2.34,0.735,In-Store,0.07,1
C00147,B2C Consumer,International,Paid Search,881.51,2.08,0.519,Online,0.1,1
C00148,B2C Consumer,Northeast,Organic Search,1763.19,2.05,0.927,In-Store,0.073,1
C00149,B2C Consumer,International,Email Campaign,2278.57,3.97,0.835,Online,0.082,1
C00150,B2C Consumer,International,Referral,2110.48,1.8,0.521,Online,0.071,0
C00151,B2C Consumer,International,Referral,333.04,3.92,0.898,In-Store,0.1,1
C00152,B2C Consumer,Southeast,Email Campaign,1943.95,3.24,0.569,In-Store,0.077,1
C00153,B2C Consumer,Northeast,Organic Search,2258.32,3.65,0.706,Online,0.078,1
C00154,B2C Consumer,Midwest,Organic Search,2160.05,1.59,0.648,In-Store,0.092,1
C00155,B2C Consumer,Southwest,Direct / Walk-in,797.43,3.31,0.723,Online,0.077,1
C00156,B2C Consumer,West Coast,Referral,2157.78,2.74,0.716,Online,0.095,1
C00157,B2C Consumer,Southeast,Email Campaign,2188.33,3.33,0.735,In-Store,0.077,1
C00158,B2C Consumer,Northeast,Referral,2125.13,3.24,0.806,Online,0.093,1
C00159,B2C Consumer,Midwest,Referral,2205.24,1.57,0.872,Online,0.08,1
C00160,B2C Consumer,Southeast,Social Media,1479.22,3.39,0.616,Online,0.073,1
C00161,B2C Consumer,Northeast,Organic Search,466.44,2.44,0.504,In-Store,0.074,1
C00162,B2C Consumer,Southeast,Organic Search,2414.88,2.35,0.785,In-Store,0.073,0
C00163,B2C Consumer,Southwest,Paid Search,2378.79,1.92,0.847,In-Store,0.084,1
C00164,B2C Consumer,Midwest,Paid Search,2204.53,3.93,0.936,In-Store,0.074,1
C00165,B2C Consumer,West Coast,Email Campaign,2089.48,2.43,0.868,Online,0.07,1
C00166,B2C Consumer,Southeast,Referral,2371.9,1.76,0.884,Online,0.095,1
C00167,B2C Consumer,Southeast,Direct / Walk-in,729.12,1.83,0.891,In-Store,0.071,1
C00168,B2C Consumer,West Coast,Email Campaign,2418.4,3.4,0.699,Online,0.08,1
C00169,B2C Consumer,Southeast,Referral,660.83,3.67,0.822,Online,0.084,1
C00170,B2C Consumer,Southwest,Direct / Walk-in,668.51,1.73,0.569,Online,0.086,1
C00171,B2C Consumer,West Coast,Social Media,274.81,3.8,0.777,In-Store,0.084,1
C00172,B2C Consumer,Northeast,Direct / Walk-in,1776.8,2.58,0.59,Online,0.072,1
C00173,B2C Consumer,West Coast,Paid Search,2034.39,2.28,0.705,Online,0.072,1
C00174,B2C Consumer,International,Direct / Walk-in,870.82,3.24,0.887,In-Store,0.071,1
C00175,B2C Consumer,Northeast,Organic Search,436.42,2.93,0.508,Online,0.076,1
C00176,B2C Consumer,Southeast,Social Media,366.56,2.84,0.897,Online,0.095,1
C00177,B2C Consumer,Southeast,Direct / Walk-in,1505.34,3.22,0.86,Online,0.075,1
C00178,B2C Consumer,Midwest,Referral,1824.89,1.58,0.921,Online,0.086,1
C00179,B2C Consumer,Southeast,Social Media,2043.97,2.35,0.867,Online,0.097,1
C00180,B2C Consumer,Southeast,Direct / Walk-in,1240.33,3.11,0.737,In-Store,0.072,1
C00181,B2C Consumer,Southwest,Referral,1302.34,3.04,0.648,Online,0.092,1
C00182,B2C Consumer,West Coast,Email Campaign,571.85,1.55,0.794,Online,0.086,1
C00183,B2C Consumer,Southwest,Paid Search,1127.5,2.05,0.688,Online,0.095,1
C00184,B2C Consumer,West Coast,Paid Search,1908.22,2.56,0.656,Online,0.1,1
C00185,B2C Consumer,Northeast,Email Campaign,1530.95,2.6,0.826,Online,0.096,0
C00186,B2C Consumer,International,Paid Search,2481.91,2.21,0.662,Online,0.084,1
C00187,B2C Consumer,Northeast,Email Campaign,1984.8,2.51,0.771,Online,0.081,1
C00188,B2C Consumer,West Coast,Referral,359.01,2.59,0.544,Online,0.088,1
C00189,B2C Consumer,Southwest,Paid Search,419.1,3.13,0.64,Online,0.096,1
C00190,B2C Consumer,Northeast,Social Media,501.01,3.92,0.704,Online,0.072,1
C00191,B2C Consumer,Southeast,Referral,975.11,3.57,0.694,Online,0.089,1
C00192,B2C Consumer,International,Social Media,1072.52,3.01,0.661,Online,0.093,1
C00193,B2C Consumer,Southwest,Direct / Walk-in,673.43,1.78,0.621,Online,0.086,0
C00194,B2C Consumer,West Coast,Organic Search,480.85,2.63,0.92,Online,0.085,1
C00195,B2C Consumer,Southeast,Social Media,2469.25,3.91,0.502,In-Store,0.089,1
C00196,B2C Consumer,Midwest,Paid Search,988.1,2.83,0.557,Online,0.074,0
C00197,B2C Consumer,Southwest,Paid Search,633.2,3.33,0.57,Online,0.099,1
C00198,B2C Consumer,Northeast,Paid Search,1060.88,1.54,0.61,In-Store,0.096,1
C00199,B2C Consumer,Midwest,Organic Search,1785.91,3.19,0.597,Online,0.082,1
C00200,B2C Consumer,Southeast,Direct / Walk-in,1713.04,4.0,0.522,In-Store,0.082,1
C00201,B2C Consumer,Northeast,Referral,1504.14,3.35,0.895,Online,0.08,1
C00202,B2C Consumer,International,Paid Search,1953.26,3.49,0.696,In-Store,0.074,1
C00203,B2C Consumer,Northeast,Referral,946.55,2.42,0.678,Online,0.082,1
C00204,B2C Consumer,Northeast,Organic Search,1222.16,1.54,0.764,Online,0.089,1
C00205,B2C Consumer,Northeast,Email Campaign,1447.44,3.88,0.881,In-Store,0.094,1
C00206,B2C Consumer,West Coast,Paid Search,1411.23,2.12,0.715,Online,0.086,1
C00207,B2C Consumer,Southwest,Email Campaign,1398.84,3.56,0.694,In-Store,0.072,0
C00208,B2C Consumer,Southwest,Email Campaign,1074.17,1.99,0.716,Online,0.075,1
C00209,B2C Consumer,West Coast,Social Media,1741.22,3.82,0.74,Online,0.073,1
C00210,B2C Consumer,Southeast,Organic Search,2446.47,3.56,0.735,Online,0.096,1
C00211,B2C Consumer,Northeast,Paid Search,626.03,3.79,0.691,Online,0.094,1
C00212,B2C Consumer,West Coast,Paid Search,458.3,1.51,0.787,Online,0.088,1
C00213,B2C Consumer,Southeast,Paid Search,1029.78,3.76,0.846,Online,0.078,1
C00214,B2C Consumer,Midwest,Social Media,1174.6,3.17,0.543,Online,0.084,1
C00215,B2C Consumer,Northeast,Email Campaign,2199.3,2.68,0.741,Online,0.079,1
C00216,B2C Consumer,Midwest,Paid Search,790.83,3.08,0.526,Online,0.078,1
C00217,B2C Consumer,Southeast,Email Campaign,1218.25,2.61,0.826,Online,0.08,1
C00218,B2C Consumer,Southwest,Paid Search,975.62,3.76,0.848,Online,0.089,1
C00219,B2C Consumer,Northeast,Organic Search,721.31,2.39,0.531,Online,0.072,1
C00220,B2C Consumer,Midwest,Referral,823.64,2.98,0.806,Online,0.084,1
C00221,B2C Consumer,Southeast,Social Media,1722.23,2.89,0.829,Online,0.072,1
C00222,B2C Consumer,Southwest,Referral,603.2,3.23,0.59,Online,0.073,1
C00223,B2C Consumer,Southwest,Organic Search,891.96,3.95,0.714,Online,0.074,0
C00224,B2C Consumer,International,Referral,1895.51,3.42,0.61,Online,0.073,1
C00225,B2C Consumer,Northeast,Referral,2099.96,3.46,0.819,Online,0.079,1
C00226,B2C Consumer,Southeast,Organic Search,401.58,3.84,0.749,Online,0.082,1
C00227,B2C Consumer,Southwest,Paid Search,1386.06,3.8,0.724,In-Store,0.096,1
C00228,B2C Consumer,Northeast,Paid Search,1441.39,3.07,0.803,Online,0.092,1
C00229,B2C Consumer,Southwest,Direct / Walk-in,386.11,2.51,0.578,Online,0.08,0
C00230,B2C Consumer,Southeast,Organic Search,1522.88,2.7,0.641,Online,0.074,0
C00231,B2C Consumer,International,Referral,930.32,3.88,0.871,Online,0.074,1
C00232,B2C Consumer,Southwest,Organic Search,734.87,1.7,0.85,Online,0.088,0
C00233,B2C Consumer,Southwest,Paid Search,838.83,3.63,0.5,Online,0.088,1
C00234,B2C Consumer,Midwest,Referral,1995.75,2.65,0.526,In-Store,0.072,1
C00235,B2C Consumer,Northeast,Email Campaign,592.53,1.69,0.852,Online,0.075,1
C00236,B2C Consumer,Northeast,Social Media,1656.34,2.07,0.605,Online,0.075,1
C00237,B2C Consumer,International,Paid Search,500.63,3.72,0.702,Online,0.081,1
C00238,B2C Consumer,International,Referral,1090.28,3.91,0.612,Online,0.083,1
C00239,B2C Consumer,West Coast,Paid Search,1766.24,1.97,0.779,Online,0.095,1
C00240,B2C Consumer,West Coast,Paid Search,348.62,1.61,0.667,Online,0.089,1
C00241,B2C Consumer,West Coast,Paid Search,492.56,3.66,0.61,Online,0.094,1
C00242,B2C Consumer,West Coast,Direct / Walk-in,1102.51,3.89,0.56,Online,0.09,0
C00243,B2C Consumer,Southeast,Social Media,375.76,2.2,0.919,Online,0.093,1
C00244,B2C Consumer,Southeast,Email Campaign,1235.29,2.07,0.9,Online,0.096,1
C00245,B2C Consumer,Southwest,Organic Search,1219.53,1.62,0.517,In-Store,0.09,1
C00246,B2C Consumer,Midwest,Organic Search,2399.95,3.34,0.659,Online,0.08,1
C00247,B2C Consumer,Midwest,Social Media,1016.14,2.53,0.747,In-Store,0.072,1
C00248,B2C Consumer,Southwest,Organic Search,879.52,3.42,0.781,Online,0.076,1
C00249,B2C Consumer,International,Social Media,1981.66,3.11,0.739,Online,0.099,1
C00250,B2C Consumer,Southwest,Email Campaign,2453.93,3.0,0.762,In-Store,0.094,1
C00251,B2C Consumer,Midwest,Paid Search,978.02,3.82,0.601,Online,0.083,1
C00252,B2C Consumer,Northeast,Paid Search,2369.07,2.1,0.555,Online,0.097,1
C00253,B2C Consumer,Midwest,Paid Search,2076.68,3.65,0.881,In-Store,0.078,1
C00254,B2C Consumer,West Coast,Direct / Walk-in,2136.6,3.32,0.849,Online,0.075,1
C00255,B2C Consumer,Midwest,Organic Search,2355.99,1.61,0.574,Online,0.092,1
C00256,B2C Consumer,Midwest,Social Media,1885.44,2.86,0.766,Online,0.079,1
C00257,B2C Consumer,West Coast,Direct / Walk-in,2208.64,3.09,0.843,Online,0.084,1
C00258,B2C Consumer,Northeast,Social Media,1870.86,3.98,0.545,Online,0.094,1
C00259,B2C Consumer,Southeast,Referral,1886.06,3.04,0.585,Online,0.094,1
C00260,B2C Consumer,International,Paid Search,1950.28,1.59,0.836,Online,0.099,1
C00261,B2C Consumer,Midwest,Email Campaign,2136.53,2.68,0.726,Online,0.082,1
C00262,B2C Consumer,Southeast,Direct / Walk-in,1564.0,2.48,0.686,Online,0.07,1
C00263,B2C Consumer,Southwest,Social Media,2026.65,1.73,0.765,Online,0.089,1
C00264,B2C Consumer,Southeast,Social Media,1489.52,3.01,0.804,In-Store,0.078,1
C00265,B2C Consumer,Northeast,Direct / Walk-in,542.7,3.24,0.836,In-Store,0.076,1
C00266,B2C Consumer,Midwest,Referral,539.14,2.32,0.695,Online,0.077,1
C00267,B2C Consumer,Midwest,Email Campaign,1887.32,2.25,0.578,Online,0.085,1
C00268,B2C Consumer,International,Direct / Walk-in,1918.61,3.35,0.928,Online,0.087,0
C00269,B2C Consumer,Midwest,Referral,1810.58,2.96,0.764,Online,0.098,1
C00270,B2C Consumer,Midwest,Paid Search,2161.27,2.06,0.67,Online,0.084,1
C00271,B2C Consumer,West Coast,Social Media,507.0,1.7,0.828,Online,0.083,1
C00272,B2C Consumer,International,Organic Search,565.49,3.03,0.561,In-Store,0.09,0
C00273,B2C Consumer,International,Social Media,302.57,1.59,0.624,Online,0.094,0
C00274,B2C Consumer,International,Paid Search,2143.02,2.17,0.57,In-Store,0.071,1
C00275,B2C Consumer,Midwest,Organic Search,995.62,2.29,0.847,Online,0.077,1
C00276,B2C Consumer,Midwest,Social Media,494.37,3.71,0.677,In-Store,0.094,1
C00277,B2C Consumer,West Coast,Paid Search,2452.97,1.86,0.826,Online,0.08,1
C00278,B2C Consumer,West Coast,Social Media,1003.86,1.79,0.568,Online,0.078,1
C00279,B2C Consumer,Northeast,Organic Search,2455.19,2.07,0.682,Online,0.094,1
C00280,B2C Consumer,Southeast,Direct / Walk-in,720.14,3.62,0.693,Online,0.09,1
C00281,B2C Consumer,Southeast,Paid Search,2182.57,2.65,0.837,Online,0.094,1
C00282,B2C Consumer,Midwest,Paid Search,2449.54,3.48,0.724,Online,0.096,1
C00283,B2C Consumer,Southwest,Direct / Walk-in,1934.45,1.54,0.557,Online,0.075,1
C00284,B2C Consumer,West Coast,Organic Search,1488.42,3.38,0.751,Online,0.073,1
C00285,B2C Consumer,Southwest,Organic Search,1098.68,3.5,0.667,Online,0.082,1
C00286,B2C Consumer,West Coast,Email Campaign,649.9,1.97,0.542,Online,0.093,1
C00287,B2C Consumer,Northeast,Direct / Walk-in,1425.97,1.89,0.813,In-Store,0.08,1
C00288,B2C Consumer,Midwest,Email Campaign,836.88,3.96,0.563,Online,0.076,0
C00289,B2C Consumer,Southwest,Email Campaign,920.27,3.5,0.935,In-Store,0.074,1
C00290,B2C Consumer,Northeast,Referral,2463.45,3.17,0.786,Online,0.096,1
C00291,B2C Consumer,Midwest,Referral,1487.44,2.82,0.824,In-Store,0.072,1
C00292,B2C Consumer,West Coast,Social Media,2173.81,3.55,0.743,In-Store,0.079,1
C00293,B2C Consumer,Southwest,Social Media,922.34,2.14,0.869,In-Store,0.086,1
C00294,B2C Consumer,Southwest,Paid Search,431.47,2.1,0.564,Online,0.084,1
C00295,B2C Consumer,Northeast,Direct / Walk-in,1897.56,3.52,0.88,Online,0.071,1
C00296,B2C Consumer,Southeast,Paid Search,924.32,1.51,0.807,Online,0.09,0
C00297,B2C Consumer,Midwest,Social Media,2192.69,2.04,0.662,Online,0.093,1
C00298,B2C Consumer,Southwest,Direct / Walk-in,2278.3,2.08,0.863,Online,0.097,1
C00299,B2C Consumer,International,Email Campaign,200.43,1.92,0.675,Online,0.077,1
C00300,B2C Consumer,International,Email Campaign,1149.35,3.51,0.716,Online,0.083,1
C00301,B2C Consumer,International,Direct / Walk-in,2174.19,2.23,0.91,In-Store,0.094,1
C00302,B2C Consumer,International,Organic Search,900.93,3.57,0.627,In-Store,0.073,1
C00303,B2C Consumer,West Coast,Social Media,422.03,2.1,0.506,Online,0.079,1
C00304,B2C Consumer,Midwest,Organic Search,889.81,3.36,0.522,In-Store,0.096,1
C00305,B2C Consumer,International,Direct / Walk-in,2252.3,1.96,0.536,Online,0.094,1
C00306,B2C Consumer,Midwest,Email Campaign,2489.51,3.64,0.735,Online,0.095,1
C00307,B2C Consumer,Northeast,Referral,415.87,3.77,0.801,In-Store,0.096,1
C00308,B2C Consumer,West Coast,Social Media,2294.56,2.66,0.562,Online,0.075,1
C00309,B2C Consumer,West Coast,Email Campaign,1224.07,3.47,0.788,Online,0.074,1
