return_id,order_id,customer_id,product_id,return_date,days_to_return,quantity_returned,return_reason,return_channel,refund_amount,return_disposition
RET000043,ORD0000545,C01293,P0010,2023-10-19,14,4,Product defective,Online Portal,3814.72,Dispose / write-off
RET000044,ORD0000581,C00442,P0046,2023-10-12,7,4,Gift return,In-Store,1183.28,Resaleable — return to stock
RET000045,ORD0000591,C00950,P0056,2023-10-19,14,29,Not as described,Online Portal,8532.67,Refurbish / re-grade
RET000046,ORD0000594,C01808,P0059,2023-10-26,21,13,Not as described,Online Portal,3115.71,Refurbish / re-grade
RET000047,ORD0000601,C00846,P0066,2023-11-04,30,19,Gift return,Online Portal,4797.12,Resaleable — return to stock
RET000048,ORD0000603,C00271,P0068,2023-10-19,14,65,Product defective,Online Portal,13122.85,Resaleable — return to stock
RET000049,ORD0000615,C00741,P0080,2023-10-12,7,17,Gift return,Online Portal,3342.03,Resaleable — return to stock
RET000050,ORD0000616,C00736,P0081,2023-11-04,30,14,Not as described,In-Store,1091.45,Resaleable — return to stock
RET000051,ORD0000617,C00694,P0082,2023-10-12,7,16,Changed mind,Online Portal,1621.44,Resaleable — return to stock
RET000052,ORD0000636,C00171,P0101,2023-10-12,7,17,Wrong size / fit,Online Portal,763.98,Refurbish / re-grade
RET000053,ORD0000659,C01768,P0124,2023-10-12,7,28,Not as described,Online Portal,7941.5,Refurbish / re-grade
RET000054,ORD0000668,C00810,P0133,2023-10-19,14,7,Product defective,In-Store,1093.05,Resaleable — return to stock
RET000055,ORD0000671,C00177,P0001,2023-11-05,30,8,Not as described,In-Store,5720.24,Resaleable — return to stock
RET000056,ORD0000674,C00985,P0004,2023-10-13,7,12,Duplicate order,Online Portal,8393.16,Refurbish / re-grade
RET000057,ORD0000680,C01055,P0010,2023-10-20,14,14,Wrong size / fit,Online Portal,13351.52,Dispose / write-off
RET000058,ORD0000699,C00718,P0029,2023-11-05,30,28,Changed mind,Online Portal,4081.56,Return to vendor
RET000059,ORD0000740,C00699,P0070,2023-10-13,7,5,Product defective,In-Store,506.74,Dispose / write-off
RET000060,ORD0000755,C01170,P0085,2023-10-27,21,116,Product defective,Online Portal,24929.56,Dispose / write-off
RET000061,ORD0000760,C00238,P0090,2023-10-20,14,17,Changed mind,Online Portal,1821.55,Refurbish / re-grade
RET000062,ORD0000773,C01756,P0103,2023-11-05,30,9,Changed mind,Online Portal,502.02,Resaleable — return to stock
RET000063,ORD0000796,C00558,P0126,2023-10-20,14,2,Not as described,In-Store,574.6,Dispose / write-off
RET000064,ORD0000803,C00395,P0133,2023-10-20,14,33,Not as described,Carrier Pickup,5152.95,Refurbish / re-grade
RET000065,ORD0000807,C01169,P0002,2023-10-14,7,4,Product defective,In-Store,4668.6,Resaleable — return to stock
RET000066,ORD0000840,C01043,P0037,2023-10-14,7,61,Wrong size / fit,In-Store,18460.53,Return to vendor
RET000067,ORD0000847,C01433,P0044,2023-10-28,21,9,Wrong size / fit,Online Portal,985.5,Resaleable — return to stock
RET000068,ORD0000859,C00678,P0056,2023-11-06,30,22,Not as described,Online Portal,6473.06,Dispose / write-off
RET000069,ORD0000862,C01808,P0059,2023-10-21,14,55,Wrong size / fit,Carrier Pickup,13181.85,Resaleable — return to stock
RET000070,ORD0000866,C00045,P0063,2023-10-14,7,19,Not as described,Online Portal,765.32,Return to vendor
RET000071,ORD0000879,C01647,P0076,2023-11-21,45,18,Damaged in transit,Online Portal,1262.52,Resaleable — return to stock
RET000072,ORD0000880,C01692,P0077,2023-11-06,30,4,Not as described,Carrier Pickup,605.64,Return to vendor
RET000073,ORD0000886,C00656,P0083,2023-10-21,14,63,Changed mind,In-Store,6208.02,Resaleable — return to stock
RET000074,ORD0000894,C00977,P0091,2023-11-21,45,36,Better price found,Online Portal,1868.4,Resaleable — return to stock
RET000075,ORD0000896,C01337,P0093,2023-10-21,14,26,Changed mind,Online Portal,624.0,Refurbish / re-grade
RET000076,ORD0000900,C01736,P0097,2023-11-21,45,26,Duplicate order,Online Portal,1235.0,Return to vendor
RET000077,ORD0000933,C00087,P0130,2023-11-06,30,10,Damaged in transit,Online Portal,6901.7,Resaleable — return to stock
RET000078,ORD0000946,C01629,P0008,2023-11-22,45,5,Wrong size / fit,In-Store,904.9,Resaleable — return to stock
RET000079,ORD0000949,C00941,P0011,2023-11-07,30,1,Damaged in transit,Online Portal,759.28,Resaleable — return to stock
RET000080,ORD0000965,C01617,P0027,2023-11-07,30,25,Not as described,In-Store,30309.75,Resaleable — return to stock
RET000081,ORD0000972,C01679,P0034,2023-11-22,45,55,Wrong size / fit,In-Store,18498.7,Refurbish / re-grade
RET000082,ORD0000976,C01142,P0038,2023-11-07,30,1,Not as described,In-Store,302.2,Resaleable — return to stock
RET000083,ORD0000989,C00584,P0051,2023-10-15,7,2,Not as described,Carrier Pickup,588.26,Resaleable — return to stock
RET000084,ORD0000990,C00913,P0052,2023-10-29,21,8,Damaged in transit,In-Store,1570.32,Refurbish / re-grade
RET000085,ORD0001008,C00443,P0070,2023-11-07,30,14,Better price found,Online Portal,1707.44,Resaleable — return to stock
RET000086,ORD0001016,C00850,P0078,2023-11-07,30,51,Product defective,In-Store,3084.48,Refurbish / re-grade
RET000087,ORD0001023,C00897,P0086,2023-10-29,21,5,Changed mind,In-Store,914.85,Refurbish / re-grade
RET000088,ORD0001027,C00727,P0090,2023-11-22,45,11,Gift return,In-Store,1178.65,Resaleable — return to stock
RET000089,ORD0001042,C00146,P0105,2023-10-22,14,55,Damaged in transit,Online Portal,2521.75,Resaleable — return to stock
RET000090,ORD0001049,C01051,P0112,2023-11-07,30,21,Damaged in transit,Online Portal,1660.05,Resaleable — return to stock
RET000091,ORD0001063,C00588,P0126,2023-10-22,14,1,Not as described,Carrier Pickup,287.3,Resaleable — return to stock
RET000092,ORD0001079,C00504,P0007,2023-11-08,30,10,Wrong size / fit,Online Portal,12055.6,Refurbish / re-grade
RET000093,ORD0001098,C00037,P0026,2023-10-16,7,5,Product defective,Online Portal,5310.0,Resaleable — return to stock
RET000094,ORD0001120,C00462,P0048,2023-10-30,21,18,Changed mind,Online Portal,3130.2,Refurbish / re-grade
RET000095,ORD0001126,C01244,P0054,2023-11-08,30,6,Wrong size / fit,In-Store,1947.78,Refurbish / re-grade
RET000096,ORD0001132,C00812,P0060,2023-12-08,60,98,Better price found,Carrier Pickup,16380.36,Refurbish / re-grade
RET000097,ORD0001138,C00248,P0066,2023-11-08,30,12,Damaged in transit,In-Store,3029.76,Resaleable — return to stock
RET000098,ORD0001140,C00830,P0068,2023-10-23,14,27,Damaged in transit,Online Portal,5451.03,Resaleable — return to stock
RET000099,ORD0001144,C00420,P0072,2023-10-23,14,30,Gift return,Online Portal,7368.6,Dispose / write-off
RET000100,ORD0001151,C00027,P0079,2023-10-23,14,17,Better price found,Online Portal,786.08,Resaleable — return to stock
RET000101,ORD0001154,C00896,P0082,2023-10-30,21,53,Wrong size / fit,Online Portal,5371.02,Refurbish / re-grade
RET000102,ORD0001156,C00002,P0084,2023-10-30,21,4,Changed mind,In-Store,812.24,Return to vendor
RET000103,ORD0001167,C00367,P0095,2023-10-16,7,20,Changed mind,Online Portal,676.8,Return to vendor
RET000104,ORD0001185,C01007,P0113,2023-10-16,7,23,Damaged in transit,Online Portal,801.78,Resaleable — return to stock
RET000105,ORD0001190,C01083,P0118,2023-11-08,30,3,Changed mind,Online Portal,747.35,Resaleable — return to stock
RET000106,ORD0001197,C01146,P0125,2023-11-23,45,8,Wrong size / fit,In-Store,4318.4,Resaleable — return to stock
RET000107,ORD0001198,C00790,P0126,2023-10-16,7,1,Changed mind,Online Portal,287.3,Return to vendor
RET000108,ORD0001199,C01179,P0127,2023-10-30,21,2,Not as described,In-Store,349.2,Resaleable — return to stock
RET000109,ORD0001220,C01678,P0013,2023-10-31,21,12,Wrong size / fit,In-Store,9810.13,Resaleable — return to stock
RET000110,ORD0001246,C00942,P0039,2023-10-31,21,9,Better price found,Online Portal,133.56,Resaleable — return to stock
RET000111,ORD0001248,C00725,P0041,2023-10-17,7,5,Duplicate order,Online Portal,187.2,Dispose / write-off
RET000112,ORD0001253,C00282,P0046,2023-10-24,14,5,Wrong size / fit,Online Portal,1479.1,Resaleable — return to stock
RET000113,ORD0001258,C00973,P0051,2023-10-31,21,3,Better price found,Online Portal,882.39,Resaleable — return to stock
RET000114,ORD0001264,C01812,P0057,2023-10-17,7,38,Product defective,Online Portal,3767.7,Dispose / write-off
RET000115,ORD0001267,C01033,P0060,2023-11-24,45,22,Product defective,Online Portal,3677.22,Resaleable — return to stock
RET000116,ORD0001269,C01719,P0062,2023-11-09,30,5,Damaged in transit,Carrier Pickup,310.15,Resaleable — return to stock
RET000117,ORD0001280,C00165,P0073,2023-10-24,14,10,Product defective,Carrier Pickup,1129.47,Dispose / write-off
RET000118,ORD0001291,C01035,P0084,2023-10-31,21,16,Changed mind,In-Store,3248.96,Resaleable — return to stock
RET000119,ORD0001322,C00949,P0115,2023-10-17,7,92,Not as described,Carrier Pickup,9090.52,Return to vendor
RET000120,ORD0001323,C00324,P0116,2023-11-09,30,21,Damaged in transit,Online Portal,12493.95,Resaleable — return to stock
RET000121,ORD0001333,C00697,P0126,2023-10-31,21,1,Product defective,Online Portal,287.3,Resaleable — return to stock
RET000122,ORD0001365,C00146,P0024,2023-10-25,14,2,Changed mind,Online Portal,794.58,Resaleable — return to stock
RET000123,ORD0001379,C01100,P0038,2023-10-25,14,7,Better price found,Carrier Pickup,2115.4,Resaleable — return to stock
RET000124,ORD0001386,C00922,P0045,2023-10-18,7,46,Not as described,Carrier Pickup,14530.41,Refurbish / re-grade
RET000125,ORD0001398,C00255,P0057,2023-10-18,7,24,Damaged in transit,Carrier Pickup,2379.6,Resaleable — return to stock
RET000126,ORD0001401,C01474,P0060,2023-10-25,14,36,Not as described,Online Portal,6017.28,Dispose / write-off
RET000127,ORD0001411,C00500,P0070,2023-10-25,14,24,Product defective,Carrier Pickup,2927.04,Resaleable — return to stock
RET000128,ORD0001415,C00034,P0074,2023-11-01,21,15,Better price found,Online Portal,2267.33,Refurbish / re-grade
RET000129,ORD0001416,C01800,P0075,2023-10-25,14,18,Damaged in transit,In-Store,2706.12,Resaleable — return to stock
RET000130,ORD0001418,C00531,P0077,2023-11-01,21,3,Wrong size / fit,Online Portal,454.23,Dispose / write-off
RET000131,ORD0001429,C00073,P0088,2023-11-10,30,108,Changed mind,In-Store,15858.68,Resaleable — return to stock
RET000132,ORD0001430,C00844,P0089,2023-10-18,7,9,Better price found,Carrier Pickup,1155.7,Resaleable — return to stock
RET000133,ORD0001466,C00985,P0125,2023-10-25,14,17,Wrong size / fit,Online Portal,9176.6,Resaleable — return to stock
RET000134,ORD0001483,C00784,P0008,2023-10-26,14,6,Wrong size / fit,Online Portal,1085.88,Resaleable — return to stock
RET000135,ORD0001486,C00165,P0011,2023-10-26,14,8,Product defective,Online Portal,6074.24,Resaleable — return to stock
RET000136,ORD0001492,C00861,P0017,2023-10-19,7,19,Not as described,Online Portal,8267.85,Resaleable — return to stock
RET000137,ORD0001498,C01784,P0023,2023-11-02,21,4,Better price found,In-Store,280.64,Resaleable — return to stock
RET000138,ORD0001510,C01189,P0036,2023-10-26,14,12,Not as described,In-Store,3041.61,Refurbish / re-grade
RET000139,ORD0001512,C01108,P0038,2023-12-11,60,15,Wrong size / fit,Online Portal,4533.0,Dispose / write-off
RET000140,ORD0001522,C00453,P0048,2023-10-19,7,5,Better price found,In-Store,869.5,Refurbish / re-grade
RET000141,ORD0001535,C00967,P0061,2023-11-02,21,14,Wrong size / fit,Carrier Pickup,1303.65,Resaleable — return to stock
RET000142,ORD0001547,C00295,P0073,2023-10-26,14,17,Product defective,In-Store,1920.1,Resaleable — return to stock
RET000143,ORD0001549,C00721,P0075,2023-10-26,14,37,Better price found,Online Portal,5562.58,Return to vendor
RET000144,ORD0001553,C01179,P0079,2023-11-02,21,6,Wrong size / fit,Online Portal,233.33,Refurbish / re-grade
RET000145,ORD0001563,C01345,P0089,2023-11-02,21,15,Damaged in transit,In-Store,1926.16,Resaleable — return to stock
RET000146,ORD0001573,C01724,P0099,2023-11-02,21,1,Damaged in transit,Online Portal,56.73,Resaleable — return to stock
RET000147,ORD0001579,C01824,P0105,2023-10-26,14,17,Product defective,Carrier Pickup,779.45,Resaleable — return to stock
RET000148,ORD0001590,C01392,P0116,2023-10-26,14,7,Changed mind,Online Portal,4164.65,Resaleable — return to stock
RET000149,ORD0001623,C00956,P0014,2023-11-03,21,20,Damaged in transit,Online Portal,7608.8,Refurbish / re-grade
RET000150,ORD0001642,C00775,P0034,2023-11-03,21,29,Changed mind,In-Store,9753.86,Resaleable — return to stock
RET000151,ORD0001654,C00062,P0046,2023-11-12,30,8,Damaged in transit,Carrier Pickup,2366.56,Refurbish / re-grade
RET000152,ORD0001655,C00312,P0047,2023-10-27,14,31,Not as described,Online Portal,11277.8,Resaleable — return to stock
RET000153,ORD0001657,C00974,P0049,2023-10-20,7,10,Product defective,In-Store,1712.1,Resaleable — return to stock
RET000154,ORD0001659,C00601,P0051,2023-11-12,30,12,Wrong size / fit,Online Portal,3529.56,Resaleable — return to stock
RET000155,ORD0001666,C00310,P0058,2023-10-20,7,1,Not as described,In-Store,30.8,Refurbish / re-grade
RET000156,ORD0001670,C00184,P0062,2023-10-27,14,22,Better price found,In-Store,1364.66,Dispose / write-off
RET000157,ORD0001678,C01136,P0070,2023-10-27,14,14,Wrong size / fit,In-Store,1707.44,Resaleable — return to stock
RET000158,ORD0001684,C00432,P0076,2023-10-27,14,8,Wrong size / fit,Online Portal,561.12,Dispose / write-off
RET000159,ORD0001717,C01923,P0109,2023-11-27,45,27,Better price found,In-Store,1859.49,Return to vendor
RET000160,ORD0001733,C00403,P0125,2023-11-12,30,16,Changed mind,In-Store,8636.8,Refurbish / re-grade
RET000161,ORD0001739,C00002,P0131,2023-10-20,7,6,Product defective,Online Portal,3307.26,Resaleable — return to stock
RET000162,ORD0001746,C01756,P0003,2023-10-21,7,5,Changed mind,Carrier Pickup,2570.75,Resaleable — return to stock
RET000163,ORD0001761,C00917,P0019,2023-10-21,7,9,Not as described,Online Portal,8659.8,Resaleable — return to stock
RET000164,ORD0001774,C00771,P0032,2023-11-13,30,38,Wrong size / fit,In-Store,2174.74,Return to vendor
RET000165,ORD0001785,C00151,P0043,2023-10-28,14,40,Better price found,In-Store,11285.2,Resaleable — return to stock
RET000166,ORD0001790,C00396,P0048,2023-11-04,21,37,Wrong size / fit,In-Store,6434.3,Resaleable — return to stock
RET000167,ORD0001798,C00164,P0056,2023-11-13,30,49,Better price found,Online Portal,14417.27,Resaleable — return to stock
RET000168,ORD0001801,C00791,P0059,2023-10-21,7,39,Product defective,Online Portal,9347.13,Resaleable — return to stock
RET000169,ORD0001802,C01634,P0060,2023-11-28,45,96,Product defective,Carrier Pickup,23878.08,Refurbish / re-grade
RET000170,ORD0001807,C01821,P0065,2023-11-13,30,83,Changed mind,In-Store,17594.34,Dispose / write-off
RET000171,ORD0001815,C01199,P0073,2023-11-04,21,40,Changed mind,In-Store,4517.88,Dispose / write-off
RET000172,ORD0001825,C01838,P0083,2023-12-13,60,49,Damaged in transit,In-Store,4828.46,Refurbish / re-grade
RET000173,ORD0001828,C01679,P0086,2023-10-28,14,11,Changed mind,Online Portal,2012.67,Resaleable — return to stock
RET000174,ORD0001836,C00032,P0094,2023-10-21,7,7,Better price found,Online Portal,545.79,Resaleable — return to stock
RET000175,ORD0001837,C00524,P0095,2023-11-13,30,16,Damaged in transit,Online Portal,541.44,Resaleable — return to stock
RET000176,ORD0001862,C00001,P0120,2023-11-13,30,1,Damaged in transit,In-Store,103.24,Return to vendor
RET000177,ORD0001878,C00969,P0001,2023-11-14,30,23,Wrong size / fit,Online Portal,16445.69,Return to vendor
RET000178,ORD0001889,C00376,P0013,2023-10-22,7,6,Product defective,In-Store,7376.04,Resaleable — return to stock
RET000179,ORD0001899,C00018,P0023,2023-11-29,45,11,Damaged in transit,In-Store,771.76,Dispose / write-off
RET000180,ORD0001906,C01455,P0030,2023-12-14,60,2,Not as described,In-Store,284.54,Return to vendor
RET000181,ORD0001909,C00026,P0033,2023-10-22,7,19,Duplicate order,Online Portal,5550.85,Refurbish / re-grade
RET000182,ORD0001920,C00983,P0044,2023-10-22,7,12,Duplicate order,In-Store,1314.0,Resaleable — return to stock
RET000183,ORD0001937,C01697,P0061,2023-10-22,7,8,Wrong size / fit,In-Store,1034.64,Resaleable — return to stock
RET000184,ORD0001947,C01069,P0071,2023-11-14,30,52,Product defective,Online Portal,10955.36,Refurbish / re-grade
RET000185,ORD0001948,C01331,P0072,2023-11-05,21,11,Gift return,In-Store,2701.82,Return to vendor
RET000186,ORD0001958,C00090,P0082,2023-10-29,14,43,Damaged in transit,Online Portal,4357.62,Resaleable — return to stock
RET000187,ORD0001966,C00714,P0090,2023-11-05,21,7,Changed mind,Online Portal,750.05,Resaleable — return to stock
RET000188,ORD0001991,C00806,P0115,2023-11-29,45,39,Wrong size / fit,Carrier Pickup,3853.59,Dispose / write-off
RET000189,ORD0001997,C01807,P0121,2023-10-29,14,14,Damaged in transit,Online Portal,561.26,Refurbish / re-grade
RET000190,ORD0001998,C00136,P0122,2023-11-05,21,13,Duplicate order,Carrier Pickup,6846.32,Dispose / write-off
RET000191,ORD0002006,C01261,P0131,2023-12-14,60,12,Changed mind,Online Portal,6614.52,Resaleable — return to stock
RET000192,ORD0002022,C01717,P0012,2023-10-30,14,1,Changed mind,Online Portal,1275.93,Resaleable — return to stock
RET000193,ORD0002048,C01680,P0038,2023-10-30,14,3,Wrong size / fit,Online Portal,906.6,Resaleable — return to stock
RET000194,ORD0002067,C01121,P0057,2023-11-06,21,13,Wrong size / fit,Online Portal,1288.95,Refurbish / re-grade
RET000195,ORD0002069,C00302,P0059,2023-10-30,14,43,Wrong size / fit,Online Portal,10305.81,Refurbish / re-grade
RET000196,ORD0002070,C00648,P0060,2023-11-06,21,40,Product defective,Online Portal,9949.2,Resaleable — return to stock
RET000197,ORD0002089,C01561,P0079,2023-11-06,21,12,Product defective,In-Store,466.65,Resaleable — return to stock
RET000198,ORD0002095,C00982,P0085,2023-10-30,14,63,Not as described,In-Store,13539.33,Refurbish / re-grade
RET000199,ORD0002100,C01058,P0090,2023-11-06,21,12,Not as described,In-Store,1285.8,Resaleable — return to stock
RET000200,ORD0002124,C00528,P0114,2023-11-30,45,19,Product defective,In-Store,1079.58,Return to vendor
RET000201,ORD0002134,C01521,P0124,2023-11-15,30,41,Product defective,Online Portal,18605.8,Resaleable — return to stock
RET000202,ORD0002141,C00417,P0132,2023-10-30,14,9,Wrong size / fit,Online Portal,3159.27,Dispose / write-off
RET000203,ORD0002155,C00181,P0011,2023-11-07,21,17,Duplicate order,Online Portal,12907.76,Resaleable — return to stock
RET000204,ORD0002157,C00581,P0014,2023-10-31,14,12,Wrong size / fit,Carrier Pickup,3885.05,Dispose / write-off
RET000205,ORD0002166,C01839,P0023,2023-10-31,14,1,Product defective,Carrier Pickup,70.16,Resaleable — return to stock
RET000206,ORD0002170,C00160,P0027,2023-11-07,21,11,Better price found,Carrier Pickup,13336.29,Resaleable — return to stock
RET000207,ORD0002198,C01634,P0056,2023-12-01,45,15,Gift return,Online Portal,4413.45,Refurbish / re-grade
RET000208,ORD0002205,C00715,P0063,2023-12-01,45,11,Changed mind,In-Store,443.08,Resaleable — return to stock
RET000209,ORD0002207,C00703,P0065,2023-10-31,14,9,Wrong size / fit,Online Portal,1907.82,Resaleable — return to stock
RET000210,ORD0002210,C01084,P0068,2023-10-24,7,3,Better price found,Carrier Pickup,550.55,Resaleable — return to stock
RET000211,ORD0002218,C00813,P0076,2023-10-24,7,59,Not as described,In-Store,4138.26,Resaleable — return to stock
RET000212,ORD0002220,C00292,P0078,2023-10-24,7,36,Wrong size / fit,In-Store,2177.28,Resaleable — return to stock
RET000213,ORD0002223,C00946,P0081,2023-10-24,7,14,Not as described,Online Portal,1299.34,Dispose / write-off
RET000214,ORD0002232,C00499,P0090,2023-10-31,14,13,Changed mind,In-Store,1392.95,Dispose / write-off
RET000215,ORD0002244,C01671,P0102,2023-10-24,7,30,Product defective,In-Store,438.46,Refurbish / re-grade
RET000216,ORD0002258,C01606,P0116,2023-10-24,7,41,Changed mind,Online Portal,24392.95,Resaleable — return to stock
RET000217,ORD0002272,C00741,P0130,2023-12-01,45,11,Wrong size / fit,Online Portal,7591.87,Resaleable — return to stock
RET000218,ORD0002287,C01719,P0010,2023-11-01,14,12,Product defective,Online Portal,9807.65,Resaleable — return to stock
RET000219,ORD0002312,C00943,P0035,2023-11-08,21,2,Product defective,Online Portal,49.1,Resaleable — return to stock
RET000220,ORD0002321,C00516,P0044,2023-11-01,14,32,Wrong size / fit,In-Store,3504.0,Resaleable — return to stock
RET000221,ORD0002330,C00500,P0053,2023-10-25,7,9,Wrong size / fit,Online Portal,3042.18,Dispose / write-off
RET000222,ORD0002341,C00586,P0064,2023-12-17,60,40,Product defective,Online Portal,9543.6,Return to vendor
RET000223,ORD0002342,C01059,P0065,2023-10-25,7,18,Product defective,Carrier Pickup,3815.64,Resaleable — return to stock
RET000224,ORD0002356,C01199,P0079,2023-11-08,21,37,Wrong size / fit,Online Portal,1438.85,Resaleable — return to stock
RET000225,ORD0002363,C01427,P0086,2023-11-08,21,4,Product defective,Online Portal,731.88,Return to vendor
RET000226,ORD0002367,C00722,P0090,2023-11-01,14,23,Damaged in transit,Online Portal,2464.45,Resaleable — return to stock
RET000227,ORD0002389,C01046,P0112,2023-11-17,30,26,Not as described,Carrier Pickup,2055.3,Dispose / write-off
RET000228,ORD0002426,C00871,P0015,2023-11-18,30,7,Wrong size / fit,Online Portal,8821.47,Resaleable — return to stock
RET000229,ORD0002449,C00625,P0038,2023-11-09,21,5,Changed mind,In-Store,1511.0,Resaleable — return to stock
RET000230,ORD0002451,C00356,P0040,2023-11-09,21,29,Changed mind,Online Portal,2530.83,Resaleable — return to stock
RET000231,ORD0002457,C00049,P0046,2023-10-26,7,9,Gift return,Online Portal,2662.38,Resaleable — return to stock
RET000232,ORD0002474,C00529,P0063,2023-10-26,7,50,Product defective,Online Portal,2014.0,Refurbish / re-grade
RET000233,ORD0002480,C00889,P0069,2023-12-03,45,17,Product defective,Online Portal,2211.87,Resaleable — return to stock
RET000234,ORD0002483,C01772,P0072,2023-11-02,14,24,Not as described,Online Portal,5894.88,Resaleable — return to stock
RET000235,ORD0002484,C00932,P0073,2023-10-26,7,17,Duplicate order,Online Portal,2424.37,Resaleable — return to stock
RET000236,ORD0002485,C01179,P0074,2023-11-02,14,39,Damaged in transit,Online Portal,6959.94,Resaleable — return to stock
RET000237,ORD0002493,C01538,P0082,2023-11-02,14,45,Not as described,Online Portal,4560.3,Resaleable — return to stock
